Ano,Centro,Mes,Semana,Data Avaliação,Comentario,classificacao,NPS,tokens_nltk,tokens_limpos,tokens_lematizados,comentario_limpo,comentario_lematizado,categoria_nps
2024,L5082-VILA ANDRADE (1346),mai,22,2024-05-31,"""Acho ,que dando desconto em mais produtos """,promotor,1,"['``', 'Acho', ',', 'que', 'dando', 'desconto', 'em', 'mais', 'produtos', '``']","['acho', 'dando', 'desconto', 'produtos']","['achar', 'dar', 'desconto', 'produto']",acho dando desconto produtos,achar dar desconto produto,promotor
2024,L5082-VILA ANDRADE (1346),jun,23,2024-06-03,Programa de pontos e cashback,promotor,1,"['Programa', 'de', 'pontos', 'e', 'cashback']","['programa', 'pontos', 'cashback']","['programa', 'ponto', 'cashback']",programa pontos cashback,programa ponto cashback,promotor
2024,L5082-VILA ANDRADE (1346),jun,23,2024-06-04,"""O preço de vcs já foi melhor! Hj não tem muito diferença dos concorrentes!""",promotor,1,"['``', 'O', 'preço', 'de', 'vcs', 'já', 'foi', 'melhor', '!', 'Hj', 'não', 'tem', 'muito', 'diferença', 'dos', 'concorrentes', '!', ""''""]","['preço', 'vcs', 'melhor', 'hj', 'não', 'diferença', 'concorrentes']","['preço', 'vcs', 'bom', 'hj', 'não', 'diferençar', 'concorrente']",preço vcs melhor hj não diferença concorrentes,preço vcs bom hj não diferençar concorrente,promotor
2024,L5082-VILA ANDRADE (1346),jun,23,2024-06-04,"A ultima peça de Picanha que comprei estava muito dura, intragável.   Primeira vez que isso ocorre.",promotor,1,"['A', 'ultima', 'peça', 'de', 'Picanha', 'que', 'comprei', 'estava', 'muito', 'dura', ',', 'intragável', '.', 'Primeira', 'vez', 'que', 'isso', 'ocorre', '.']","['ultima', 'peça', 'picanha', 'comprei', 'dura', 'intragável', 'primeira', 'vez', 'ocorre']","['ultimo', 'peça', 'picanha', 'comprei', 'dura', 'intragável', 'primeiro', 'vez', 'ocorrer']",ultima peça picanha comprei dura intragável primeira vez ocorre,ultimo peça picanha comprei dura intragável primeiro vez ocorrer,promotor
2024,L5082-VILA ANDRADE (1346),jun,23,2024-06-05,Achei prudente a iniciativa da moça em ver uma fila e somente um caixa ir imediatamente para outro caixa e reduzir a fila,neutro,0,"['Achei', 'prudente', 'a', 'iniciativa', 'da', 'moça', 'em', 'ver', 'uma', 'fila', 'e', 'somente', 'um', 'caixa', 'ir', 'imediatamente', 'para', 'outro', 'caixa', 'e', 'reduzir', 'a', 'fila']","['achei', 'prudente', 'iniciativa', 'moça', 'ver', 'fila', 'somente', 'caixa', 'ir', 'imediatamente', 'outro', 'caixa', 'reduzir', 'fila']","['achar', 'prudente', 'iniciativa', 'moçar', 'ver', 'fila', 'somente', 'caixa', 'ir', 'imediatamente', 'outro', 'caixa', 'reduzir', 'fila']",achei prudente iniciativa moça ver fila somente caixa ir imediatamente outro caixa reduzir fila,achar prudente iniciativa moçar ver fila somente caixa ir imediatamente outro caixa reduzir fila,neutro
2024,L5082-VILA ANDRADE (1346),jun,23,2024-06-06,"O aplicativo as vezes tem produtos iguais com preços diferentes, e preciso de várias tentativas para finalizar a compra. E meu último pedido veio faltando 2 itens, o telefone da Swift resolve diz no aplicativo que funciona no domingo até às 15 mas não é verdade reenviaram os itens que faltavam na versão normal e o meu pedido era apimentada!",neutro,0,"['O', 'aplicativo', 'as', 'vezes', 'tem', 'produtos', 'iguais', 'com', 'preços', 'diferentes', ',', 'e', 'preciso', 'de', 'várias', 'tentativas', 'para', 'finalizar', 'a', 'compra', '.', 'E', 'meu', 'último', 'pedido', 'veio', 'faltando', '2', 'itens', ',', 'o', 'telefone', 'da', 'Swift', 'resolve', 'diz', 'no', 'aplicativo', 'que', 'funciona', 'no', 'domingo', 'até', 'às', '15', 'mas', 'não', 'é', 'verdade', 'reenviaram', 'os', 'itens', 'que', 'faltavam', 'na', 'versão', 'normal', 'e', 'o', 'meu', 'pedido', 'era', 'apimentada', '!']","['aplicativo', 'vezes', 'produtos', 'iguais', 'preços', 'diferentes', 'preciso', 'várias', 'tentativas', 'finalizar', 'compra', 'último', 'pedido', 'veio', 'faltando', 'itens', 'telefone', 'swift', 'resolve', 'diz', 'aplicativo', 'funciona', 'domingo', 'não', 'verdade', 'reenviaram', 'itens', 'faltavam', 'versão', 'normal', 'pedido', 'apimentada']","['aplicativo', 'vez', 'produto', 'igual', 'preço', 'diferentes', 'preciso', 'várias', 'tentativa', 'finalizar', 'compra', 'último', 'pedir', 'vir', 'faltar', 'item', 'telefone', 'swift', 'resolver', 'dizer', 'aplicativo', 'funcionar', 'domingo', 'não', 'verdade', 'reenviar', 'item', 'faltar', 'versão', 'normal', 'pedido', 'apimentar']",aplicativo vezes produtos iguais preços diferentes preciso várias tentativas finalizar compra último pedido veio faltando itens telefone swift resolve diz aplicativo funciona domingo não verdade reenviaram itens faltavam versão normal pedido apimentada,aplicativo vez produto igual preço diferentes preciso várias tentativa finalizar compra último pedir vir faltar item telefone swift resolver dizer aplicativo funcionar domingo não verdade reenviar item faltar versão normal pedido apimentar,neutro
2024,L5082-VILA ANDRADE (1346),jun,23,2024-06-06,O item referente ao peixe porquinho estava estragado.,detrator,-1,"['O', 'item', 'referente', 'ao', 'peixe', 'porquinho', 'estava', 'estragado', '.']","['item', 'referente', 'peixe', 'porquinho', 'estragado']","['itar', 'referente', 'peixe', 'porquinho', 'estragar']",item referente peixe porquinho estragado,itar referente peixe porquinho estragar,detrator
2024,L5082-VILA ANDRADE (1346),jun,24,2024-06-10,Pra mim está tudo ótimo. Gosto da loja da variedade e atendimento. Poderiam ter cash back para próximas compras.,promotor,1,"['Pra', 'mim', 'está', 'tudo', 'ótimo', '.', 'Gosto', 'da', 'loja', 'da', 'variedade', 'e', 'atendimento', '.', 'Poderiam', 'ter', 'cash', 'back', 'para', 'próximas', 'compras', '.']","['pra', 'mim', 'tudo', 'ótimo', 'gosto', 'loja', 'variedade', 'atendimento', 'poderiam', 'cash', 'back', 'próximas', 'compras']","['pra', 'eu', 'tudo', 'bom', 'gostar', 'loja', 'variedade', 'atendimento', 'poder', 'cash', 'backr', 'próximo', 'compra']",pra mim tudo ótimo gosto loja variedade atendimento poderiam cash back próximas compras,pra eu tudo bom gostar loja variedade atendimento poder cash backr próximo compra,promotor
2024,L5082-VILA ANDRADE (1346),jun,24,2024-06-10,Fazendo mais promoçoes pontuais com preços imbatíveis!!,neutro,0,"['Fazendo', 'mais', 'promoçoes', 'pontuais', 'com', 'preços', 'imbatíveis', '!', '!']","['fazendo', 'promoçoes', 'pontuais', 'preços', 'imbatíveis']","['fazer', 'promoçoe', 'pontual', 'preço', 'imbatível']",fazendo promoçoes pontuais preços imbatíveis,fazer promoçoe pontual preço imbatível,neutro
2024,L5082-VILA ANDRADE (1346),jun,24,2024-06-11,Acho que deveria ter a mesma variedade em tds as lojas,promotor,1,"['Acho', 'que', 'deveria', 'ter', 'a', 'mesma', 'variedade', 'em', 'tds', 'as', 'lojas']","['acho', 'deveria', 'mesma', 'variedade', 'tds', 'lojas']","['achar', 'dever', 'mesmo', 'variedade', 'tds', 'loja']",acho deveria mesma variedade tds lojas,achar dever mesmo variedade tds loja,promotor
